Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón)
SUPE,CARAL VIP E.I.R.L.,CARRETERA A CARAL SN LOTES 22 AL 29 PREDIO RURAL SAN NICOLAS 10 DE MAYO EL MOLINO,,15.29
PATIVILCA,ESTACION DE SERVICIO PATIVILCA SAC,JR. SAN MARTIN S/N CARRETERA PANAMERICANA NORTE KM. 210,,15.33
BARRANCA,SILYCARP INVERSIONES SAC,"JR. LAURIAMA MZ B LOTES 3, 4, 5, 6 Y 7 FUNDO PATILLO",942924496,15.35
PARAMONGA,MULTISERVICIOS LIM TRANSPOR SAC,CARRETERA CAMINO A HUARAZ - SAN JUAN DE TUNAN,989508620/930850429,15.49
PARAMONGA,ESTACION DE SERVICIOS SAN ANTONIO SAC,CARRETERA PATIVILCA-CRUZ KM. 12.5 CENTRO POBLADO DE TUNAN-PAPAMONGA-BARRANCA-LIMA,999913166/943788795,15.59
BARRANCA,INVERSIONES DE ABASTECIMIENTO Y SERVICIO AUTOMOTRIZ SIERRA S.R.L.,JR. RAMON CASTILLA MARQUESADO N° 1290,013556150,15.59
SUPE,ESTACION DE SERVICIOS CALETA S.A.C.,"PANAMERICANA NORTE KM 182, MZ. A LOTE N° 2, LOS HUACOS CHIRIMOYO EL PORVENIR",922529197,15.79
BARRANCA,REPRESENTACIONES 4.L.L. S.A.C.,PANAMERICANA NORTE KM. 198,949415445,15.79
SUPE,MULTI SERVICIO GASO CENTRO POMPEYO S.A.C,PANAMERICANA NORTE KM 190+400 MT,996627040/972630901,15.8
BARRANCA,COESTI S.A,AV. RAMON CASTILLA N° 921,012033100/012080100/961606777,15.99
SUPE,MULTISERVICIOS LUCHINS E.I.R.L.,CARRETERA PANAMERICANA NORTE SUB LOTE D UC 120645 SECTOR LA MINKA,015065056,15.99
SUPE,CORPORATION WILCARDIE S.A.C.,CARRETERA PANAMERICANA NORTE KM 179,,15.99
BARRANCA,COESTI S.A,AV. CARRETERA PANAMERICANA NORTE KM. 196 (ANTES CARRETERA PANAMERICANA NORTE INTERSECCION CON LA AV. A),012033100/012080100/978854779,15.99
SUPE,COESTI S.A.,PANAMERICANA NORTE KM. 185,012080100/2033100/978871113,16.69
SUPE,ESTACION DE SERVICIOS HERCO SAC,CARRETERA PANAMERICANA NORTE KM 180.100,960151755/937283989,16.9
SUPE,FIDEL SAC,AV. FRANCISCO VIDAL Nº 155 (EX CARRETERA PANAMERICANA NORTE KM. 187.60),987372882,19.0
BARRANCA,ESTACION DE SERVICIOS PASO DE LOS ANDES S.A.C.,CARRETERA PANAMERICANA NORTE KM. 193. BARRIO DE ATAHUALPA,12355428,13.27
BARRANCA,INVERSIONES DE ABASTECIMIENTO Y SERVICIO AUTOMOTRIZ SIERRA S.R.L.,JR. RAMON CASTILLA MARQUESADO N° 1290,13556150,15.69
SUPE PUERTO,X,CARRETERA PANAMERICANA NORTE KM.186 (ANTES KM. 190 Y ANTES 173.6 LUEGO 185 SEGÚN CONSTA EN LA ESCRITURA DE TRANSFERENCIA DE PROPIEDAD Nº 1077),,14.89
SUPE PUERTO,INVERSIONES PETRONOR E.I.R.L,CARRETERA PANAMERICANA NORTE KM. 187,012360505/977720815,15.69
BARRANCA,ESTACION DE SERVICIOS PASO DE LOS ANDES S.A.C.,CARRETERA PANAMERICANA NORTE KM. 193. BARRIO DE ATAHUALPA,012355428,15.73
BARRANCA,MARIANO DUEÑAS WILSON ELICEO,SECTOR PAYCUAN EPS NUEVA ESPERANZA NUMERO DE PARCELA 59 CODIGO CATASTRAL 8 1958810 03536,941808781,15.9
BARRANCA,ESTACION DE SERVICIOS PASO DE LOS ANDES SAC,"MZ A, LOTE 01 - CP LAS GARDENIAS (COSTADO DE PARQUE LAS GARDENIAS)",,15.9
PARAMONGA,MULTISERVICIOS LIM TRANSPOR SAC,CARRETERA CAMINO A HUARAZ - SAN JUAN DE TUNAN,989508620/930850429,15.95
PARAMONGA,GRIFO EL RUISEÑOR E.I.R.L.,"AUTOPISTA PATIVILCA – HUARAZ, VALLE FORTALEZA, PREDIO LA ESPERANZA, SECTOR SHAURA",992275837/988669612,15.98
PATIVILCA,MEGA ESTACION DE SERVICIOS LOS DELFINES S.A.,PREDIO RURAL 8-1958815-016846- SECTOR JAZMIN PROYECTO PREDIOS DE PATIVILCA,013603158/994979790,15.98
BARRANCA,SILYCARP INVERSIONES SAC,PRIMER OVALO N°100 (ANTES CHIU CHIU A. LOTE “B”),999226232,15.98
SUPE,SUPER ESTACION,"SECTOR HUARANGAL CHICO, UC 09063, CARRETERA PANAMERICA NORTE",012364699/943834038,15.98
SUPE,INVERSIONES SMITH SPP E.I.R.L.,CARRETERA A LA CAMPIÑA (PROLONGACION AV. BOLOGNESI S/N UC08932) - SECTOR PAMAPA DE ANTIVAL,968406344,15.99
BARRANCA,REPRESENTACIONES 4.L.L. S.A.C.,PANAMERICANA NORTE KM. 198,949415445,15.99
PATIVILCA,GRIFO SAN IGNACIO SAC,CALLE JAZMIN N° 460 - 462,943413879,15.99
BARRANCA,PRISER INVERSIONES SAC,SUB LOTE 2B-1 DEL SUB LOTE 2 B DEL SUBLOTE 2 - CARRETERA PANAMERICANA NORTE N° 1651,942924496,16.0
BARRANCA,GRIFO BARRANCA VIP S.A.C.,"CARRETERA NUEVA PANAMERICANA NORTE S/N KM. 193+800, PARCELA CHIU CHIU, NUEVA ESPERANZA",012365707/939342714,16.1
SUPE PUERTO,PETRO CENTRO SAN PEDRO S.A.C.,BARRIO LA PALMA - ALTURA KM. 191 PANAMERICANA NORTE,962576413/995615658,16.1
BARRANCA,GRIFO BARRANCA VIP S.A.C.,"PARTE DEL SUB LOTE 1 Y SUB LOTE 2, CARRETERA PANAMERICANA NORTE KM. 191+506.50",012355014/939342714,16.1
BARRANCA,INVERSIONES DE ABASTECIMIENTO Y SERVICIO AUTOMOTRIZ SIERRA S.R.L.,JR. RAMON CASTILLA MARQUESADO N° 1290,013556150,16.15
PARAMONGA,CORPORATION TOCJUN S.A.C.,FRANCISCO VIDAL NRO. 1022,012361343/012352063,16.19
PATIVILCA,ESTACION DE SERVICIO PATIVILCA SAC,JR. SAN MARTIN S/N CARRETERA PANAMERICANA NORTE KM. 210,,16.19
SUPE PUERTO,GRIFO TEODOLINDA E.I.R.L.,"CARRETERA PANAMERICANA NORTE, LA PALMA, SECTOR PAMPA VELARDE",996038102,16.19
SUPE,ESTACION DE SERVICIOS HERCO SAC,CARRETERA PANAMERICANA NORTE KM 180.100,960151755/937283989,16.24
BARRANCA,SILYCARP INVERSIONES SAC,"JR. LAURIAMA MZ B LOTES 3, 4, 5, 6 Y 7 FUNDO PATILLO",942924496,16.25
SUPE PUERTO,TERPEL PERU S.A.C.,"CARRETERA PANAMERICANA NORTE KM 187 + 932.5, MANZANA URBANA 001-SUB LOTE 1, AA.HH. LETICIA",916419844,16.29
SUPE,SERGAS,CARRETERA PANAMERICANA NORTE KM. 185,932500787,16.29
BARRANCA,COESTI S.A,AV. RAMON CASTILLA N° 921,012033100/012080100/961606777,16.29
